frame,player,left_heel_x,left_heel_y,right_heel_x,right_heel_y
0,player1,1125,113,1124,109
2,player1,1148,117,1158,122
3,player1,1166,153,1197,140
4,player1,1166,196,1202,179
5,player1,1164,186,1192,174
6,player1,1163,189,1195,178
7,player1,1167,194,1203,182
8,player1,1165,189,1199,184
9,player1,1173,196,1205,187
10,player1,1176,196,1212,183
11,player1,1181,192,1220,181
12,player1,1182,200,1214,190
13,player1,1170,195,1181,185
14,player1,1170,193,1185,183
15,player1,1169,198,1185,185
16,player1,1172,208,1192,195
17,player1,1165,211,1177,198
18,player1,1165,215,1184,200
19,player1,1168,211,1194,188
20,player1,1171,208,1192,190
21,player1,1170,205,1208,173
22,player1,1170,204,1178,183
23,player1,1169,207,1191,184
24,player1,1169,206,1197,184
25,player1,1171,208,1193,187
26,player1,1172,219,1193,209
27,player1,1174,217,1193,204
28,player1,1185,209,1202,196
29,player1,1182,207,1210,190
30,player1,1188,194,1207,183
31,player1,1186,191,1203,181
32,player1,1207,180,1203,180
33,player1,1200,192,1204,188
34,player1,1209,175,1193,179
35,player1,1203,179,1194,182
36,player1,1201,196,1198,194
37,player1,1194,215,1197,200
38,player1,1187,222,1168,215
39,player1,1184,223,1178,210
40,player1,1198,201,1181,206
41,player1,1197,201,1183,204
42,player1,1199,201,1195,204
43,player1,1199,202,1196,203
44,player1,1205,194,1187,202
45,player1,1204,201,1203,201
46,player1,1196,203,1201,196
49,player1,1176,159,1199,155
50,player1,1177,201,1206,190
51,player1,1167,209,1189,198
52,player1,1165,203,1191,189
53,player1,1158,186,1166,173
54,player1,1156,208,1174,198
55,player1,1135,200,1138,190
56,player1,1149,207,1168,192
57,player1,1161,223,1179,210
58,player1,1168,214,1180,201
59,player1,1168,198,1174,180
60,player1,1172,199,1175,180
61,player1,1169,199,1175,186
62,player1,1172,191,1184,183
63,player1,1171,197,1174,189
64,player1,1171,189,1202,184
65,player1,1168,207,1199,197
66,player1,1164,213,1186,201
67,player1,1164,222,1177,207
68,player1,1164,222,1175,211
69,player1,1162,228,1181,209
70,player1,1155,233,1177,208
71,player1,1152,230,1176,207
72,player1,1153,227,1180,200
73,player1,1158,218,1187,197
74,player1,1151,216,1186,197
75,player1,1151,215,1178,202
76,player1,1152,215,1178,202
77,player1,1154,215,1184,202
78,player1,1158,214,1189,198
79,player1,1159,216,1193,197
80,player1,1157,218,1194,197
81,player1,1154,221,1191,201
82,player1,1152,223,1180,210
83,player1,1152,223,1178,212
84,player1,1152,223,1174,217
85,player1,1152,223,1174,219
86,player1,1152,223,1174,220
87,player1,1152,223,1173,219
88,player1,1155,223,1172,220
89,player1,1160,223,1173,223
90,player1,1152,224,1180,222
91,player1,1153,229,1164,233
92,player1,1159,228,1170,226
93,player1,1161,228,1173,224
94,player1,1161,227,1175,223
95,player1,1161,227,1175,222
96,player1,1161,227,1172,222
97,player1,1160,227,1166,226
98,player1,1160,227,1166,227
99,player1,1161,228,1167,227
100,player1,1161,228,1167,226
101,player1,1161,228,1166,226
102,player1,1161,223,1171,220
103,player1,1158,223,1171,220
104,player1,1159,223,1171,220
105,player1,1157,224,1171,220
106,player1,1156,224,1171,220
107,player1,1156,224,1172,220
108,player1,1158,228,1178,221
109,player1,1158,228,1178,220
110,player1,1158,227,1179,220
111,player1,1166,219,1181,214
112,player1,1170,216,1187,202
113,player1,1165,216,1165,215
114,player1,1177,196,1185,190
115,player1,1162,190,1161,192
116,player1,1181,192,1156,204
117,player1,1195,180,1154,192
118,player1,1199,190,1150,201
119,player1,1198,214,1173,206
120,player1,1191,221,1173,213
121,player1,1194,200,1176,201
122,player1,1196,192,1189,188
123,player1,1193,193,1200,189
125,player1,1134,136,1134,130
126,player1,1147,134,1156,120
127,player1,1146,140,1164,135
128,player1,1146,158,1162,150
132,player1,1138,143,1145,144
133,player1,1140,186,1183,181
134,player1,1167,192,1190,183
135,player1,1160,180,1192,174
136,player1,1159,197,1196,178
137,player1,1157,213,1187,199
138,player1,1168,184,1184,167
139,player1,1165,193,1184,182
140,player1,1172,197,1183,190
141,player1,1175,220,1182,206
142,player1,1171,228,1187,207
143,player1,1171,225,1188,208
144,player1,1171,226,1182,218
145,player1,1167,220,1177,209
146,player1,1172,211,1186,190
147,player1,1180,207,1192,189
148,player1,1181,207,1198,187
149,player1,1179,207,1198,187
150,player1,1178,208,1197,195
151,player1,1168,210,1202,192
152,player1,1167,198,1199,185
153,player1,1167,198,1197,185
154,player1,1167,200,1198,185
155,player1,1169,199,1197,185
156,player1,1178,200,1197,185
157,player1,1181,188,1199,177
158,player1,1175,177,1194,170
159,player1,1186,181,1200,175
160,player1,1186,181,1199,183
161,player1,1195,205,1204,194
162,player1,1184,221,1184,215
163,player1,1182,215,1183,208
164,player1,1188,213,1187,207
169,player1,1129,139,1127,126
170,player1,1179,203,1193,193
171,player1,1134,147,1171,138
172,player1,1134,130,1160,120
173,player1,1165,135,1182,140
174,player1,1158,138,1173,139
175,player1,1171,153,1179,151
176,player1,1176,176,1182,169
177,player1,1185,179,1183,170
190,player1,1138,164,1141,164
191,player1,1160,164,1180,155
192,player1,1152,161,1176,148
193,player1,1154,161,1179,148
194,player1,1158,206,1197,183
195,player1,1155,225,1178,205
196,player1,1154,221,1190,192
197,player1,1156,229,1182,203
198,player1,1159,218,1196,179
199,player1,1167,221,1189,205
200,player1,1166,215,1186,200
201,player1,1167,217,1173,205
202,player1,1184,215,1205,200
203,player1,1197,192,1210,186
204,player1,1207,185,1220,177
205,player1,1201,189,1215,183
206,player1,1196,192,1220,181
207,player1,1196,201,1176,207
208,player1,1195,193,1183,206
209,player1,1198,187,1181,202
210,player1,1196,206,1203,199
211,player1,1200,198,1203,192
212,player1,1198,200,1193,193
213,player1,1206,196,1194,192
217,player1,1163,188,1181,183
218,player1,1163,192,1204,182
219,player1,1164,206,1198,184
220,player1,1164,207,1187,187
221,player1,1165,200,1174,187
222,player1,1172,199,1187,188
223,player1,1160,187,1176,162
224,player1,1160,216,1161,198
225,player1,1168,215,1177,198
226,player1,1168,218,1174,204
227,player1,1168,224,1174,207
228,player1,1182,219,1192,205
229,player1,1167,217,1171,204
230,player1,1173,206,1174,192
231,player1,1180,212,1190,200
232,player1,1183,216,1194,200
233,player1,1181,209,1191,199
234,player1,1184,203,1199,192
235,player1,1182,204,1200,192
236,player1,1202,196,1211,188
237,player1,1201,191,1205,181
238,player1,1187,187,1184,184
239,player1,1191,191,1192,185
240,player1,1185,187,1192,182
241,player1,1165,206,1176,192
242,player1,1167,205,1180,191
243,player1,1157,207,1170,191
244,player1,1161,213,1175,200
245,player1,1163,213,1177,204
